Argomento,CostoPubblico,ContributoComunitario,2007,2008,2009,2010,2011
"Attrattori culturali, naturali e turismo",1031152,515576,13988,18068,22053,86020,26741
Energia rinnovabile e risparmio energetico,1607786,803893,0,0,81922,74010,241880
Governance e Assitenza Tecnica,276191,138095,9554,1101,10888,22677,33059
Istruzione Ambienti per l'apprendimento,495310,247655,0,19355,54008,80773,33015
Reti e mobilità,2749458,1374729,27876,102825,107817,118023,82606
Ricerca e competitività,6205394,3102697,24406,43300,415617,97223,1039297
Sicurezza,1158081,579040,0,0,139119,42815,130265
Campania,6864795,3432398,20628,28897,251408,269333,287402
Puglia,5238044,2619022,42771,113177,302031,291884,401560
Basilicata ST 2,752186,300875,15970,35102,76617,50875,68254
Calabria,2998240,1499120,4596,26049,207398,98494,149464
Sicilia,6539605,3269803,19262,56393,379371,147357,182589
Totale,35916242,17882902,179051,444268,2048249,1379484,2676132
