Obiettivo,Programma operativo,Fondo,Tipo dato,31/12/2010,31/10/2011,31/12/2011,31/05/2012,31/10/2012,31/12/2012,31/05/2013,31/10/2013,31/12/2013,31/12/2014,31/12/2015
Convergenza,Poin Attrattori,FESR,Risultato,"8,7","8,7","16,4","24,2","24,2","23,6",,,,,
Convergenza,Poin Attrattori,FESR,Target,"8,5","13,8","16,7","24,1","27,5","30,5","35,9","41,4","44,2","74,7","100,0"
Convergenza,Poin Energie,FESR,Risultato,"8,6","16,1","24,0","34,9","34,9","38,8",,,,,
Convergenza,Poin Energie,FESR,Target,"8,5","16,4","23,5","26,6","34,2","38,8","45,2","51,7","54,9","75,1","100,0"
Convergenza,Pon GAT,FESR,Risultato,"9,6","17,7","26,1","31,8","37,1","42,5",,,,,
Convergenza,Pon GAT,FESR,Target,"8,5","17,3","24,7","28,0","36,3","41,2","47,9","54,7","58,0","75,1","100,0"
Convergenza,Pon Istruzione,FESR,Risultato,"18,4","30,9","32,6","36,1","39,7","40,7",,,,,
Convergenza,Pon Istruzione,FESR,Target,"8,5","17,3","24,0","32,6","35,2","40,0","47,7","55,4","59,3","75,9","100,0"
Convergenza,Pon Reti,FESR,Risultato,"7,7","8,4","11,5","11,9","13,8","16,1",,,,,
Convergenza,Pon Reti,FESR,Target,"2,6","7,1","10,1","11,5","13,4","14,8","23,2","32,8","35,9","75,1","100,0"
Convergenza,Pon Ricerca,FESR,Risultato,"9,1","10,5","25,8","36,2","36,2","41,9",,,,,
Convergenza,Pon Ricerca,FESR,Target,"8,5","17,3","24,7","28,0","36,3","41,2","47,9","54,6","58,0","75,1","100,0"
Convergenza,Pon Sicurezza,FESR,Risultato,"15,6","21,0","26,6","35,1","39,5","42,7",,,,,
Convergenza,Pon Sicurezza,FESR,Target,"8,5","17,3","24,7","28,0","36,3","41,2","47,9","54,8","58,0","75,1","100,0"
Convergenza,Por Calabria,FESR,Risultato,"8,9","13,1","15,4","16,7","18,9","21,3",,,,,
Convergenza,Por Calabria,FESR,Target,"8,5","11,6","14,6","15,9","19,5","17,8","22,5","26,6","32,3","75,1","100,0"
Convergenza,Por Campania,FESR,Risultato,"5,7","7,3","8,8","11,6","14,8","15,4",,,,,
Convergenza,Por Campania,FESR,Target,"2,0","4,8","6,8","8,8","10,5","14,7","18,1","25,8","26,2","75,5","100,0"
Convergenza,Por Puglia,FESR,Risultato,"8,8","16,5","22,7","25,3","32,5","41,8",,,,,
Convergenza,Por Puglia,FESR,Target,"8,4","14,4","20,5","23,4","27,3","36,1","41,8","48,3","52,3","75,1","100,0"
Convergenza,Por Sicilia,FESR,Risultato,"7,7","8,6","11,7","12,7","14,1","18,8",,,,,
Convergenza,Por Sicilia,FESR,Target,"7,6","4,7","10,1","12,7","14,7","15,9","21,8","29,0","31,4","76,1","100,0"
Convergenza,Por Basilicata,FESR,Risultato,"17,0","22,3","32,7","33,3","41,3","44,5",,,,,
Convergenza,Por Basilicata,FESR,Target,"15,0","22,1","30,9","33,0","41,0","43,8","46,7","52,2","60,5","82,0","100,0"
