"L1","L2","L3","value"
"Fondi Europei","Fondi Strutturali UE","Mezzogiorno",22949.6
"Fondi Europei","Fondi Strutturali UE","Centro-Nord",5003
"Fondi Europei","Cofinanziamento Nazionali","Mezzogiorno",12576.6
"Fondi Europei","Cofinanziamento Nazionali","Centro-Nord",7245.9
"Fondi Nazionali","Interventi Regionali","Mezzogiorno",16506.3
"Fondi Nazionali","Interventi Regionali","Centro-Nord",3695.6
"Fondi Nazionali","Interventi Nazionali","Mezzogiorno",6
"FAS","","Mezzogiorno",14410
"FAS","","Centro-Nord",3579.8
"Piano di Azione per la coesione","","Mezzogiorno",14410
"Piano di Azione per la coesione","","Centro-Nord",3579.8
