"L1","L2","L3","value"
"Fondi SIE (Risorse UE)","","Mezzogiorno",29275.66
"Fondi SIE (Risorse UE)","","Centro Nord",11832.29
"Fondi SIE (Risorse UE)","","Italia",1559.93
"Fondi SIE (Cofinanziamento Nazionale)","","Mezzogiorno",16582.72
"Fondi SIE (Cofinanziamento Nazionale)","","Centro Nord",12700.89
"Fondi SIE (Cofinanziamento Nazionale)","","Italia",1672.93
"CTE","Risorse UE","",1136.8
"CTE","Risorse Nazionali","",200.6
"FEAD","Risorse UE","",670.6
"FEAD","Risorse Nazionali","",118.3
"Programmi Complementari e PAC","","Mezzogiorno",7425.3
"Fondo FSC","","Mezzogiorno",31752.1
"Fondo FSC","","Centro Nord",7938.0
